127.0.0.1 - - [19/Feb/2018:00:38:52 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:12 +0530] "GET /Aman/signin.jsp HTTP/1.1" 200 3120
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:13 +0530] "GET /Aman/plugins/node-waves/waves.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:13 +0530] "GET /Aman/plugins/bootstrap/css/bootstrap.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:13 +0530] "GET /Aman/plugins/animate-css/animate.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:13 +0530] "GET /Aman/plugins/jquery/jquery.min.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:13 +0530] "GET /Aman/css/style.css HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:13 +0530] "GET /Aman/plugins/bootstrap/js/bootstrap.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:13 +0530] "GET /Aman/plugins/node-waves/waves.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:13 +0530] "GET /Aman/js/admin.js HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:13 +0530] "GET /Aman/plugins/jquery-validation/jquery.validate.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:13 +0530] "GET /Aman/js/pages/examples/sign-in.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:40 +0530] "GET /Aman/include/footer.jsp HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:40 +0530] "GET /Aman/include/plugins/bootstrap/js/bootstrap.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:40 +0530] "GET /Aman/include/plugins/jquery/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:40 +0530] "GET /Aman/include/plugins/bootstrap-select/js/bootstrap-select.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:40 +0530] "GET /Aman/include/plugins/jquery-slimscroll/jquery.slimscroll.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:40 +0530] "GET /Aman/include/plugins/jquery-countto/jquery.countTo.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:40 +0530] "GET /Aman/include/plugins/node-waves/waves.js HTTP/1.1" 404 1074
